Date,Region,PropertyType,PredictedPrice
2025-02-01,London,,497296.6969424062
2025-03-01,London,,498186.56199056393
2025-04-01,London,,499076.4270387217
2025-05-01,London,,499966.29208687943
2025-06-01,London,,500856.1571350372
2025-07-01,London,,501746.02218319493
